first_name,last_name,email,password,birthday
Вʼячеслав,Дробʼязко,aleksiichukmyron@example.com,Gl@wq1Fn7Y,2002-05-12
Леон,Черінько,taras92@example.net,_7az@qOB&v,2005-05-12
Ігор,Приймак,zhukmyron@example.org,J@llwAk0pY,1976-05-25
Руслан,Карпа,liliia92@example.org,fk9(Vos4_Z,2013-01-02
Августин,Малишко,vasylynariaboshapka@example.org,+)7+FdGv_r,1977-11-23
Богуслава,Хмара,drobiazkosnizhana@example.net,!_lX6+svM7,1994-01-06
Мирон,Деряжний,babychvalerii@example.com,s9K3nIbJ$6,1989-03-12
Тереза,Вівчаренко,okhrimievtushok@example.net,2KrvRjSu%9,2004-08-31
Тереза,Івасюк,feofan94@example.com,@xF7EFfb*S,2012-01-09
Любов,Алексійчук,tereshchukiukhym@example.org,T%BZnMfF^0,2019-11-01
Маруся,Вдовенко,riabchenkoboleslav@example.com,^8XpSkbtjP,1974-06-22
Онисим,Запорожець,nataliiahavrylets@example.net,2Eol9ztSD%,2019-09-23
Лілія,Гупало,andrii61@example.org,iMJ7FW(n&+,1991-11-16
Аніта,Пушкар,ievhen87@example.com,+8ZXy!ctct,2007-08-28
Левко,Якименко,vasylromanchuk@example.net,%1eVKk%4#Y,2006-02-28
Арсен,Радченко,ievamatiash@example.net,_6!I12pvV2,1993-10-03
Прохір,Калениченко,mykolai78@example.com,ye04fUar&_,1984-04-21
Богуслава,Романець,panashavryshkevych@example.net,+jDe@rRc6W,1998-05-03
Микита,Михайличенко,albinalysenko@example.org,E237AdPk!y,2021-10-16
Надія,Худобʼяк,arsenkozak@example.org,#&ur7MmSm0,1988-10-08
Болеслав,Приходько,arkadii18@example.com,s1TIpXtV#e,2009-08-31
Єва,Жученко,anitakarpenko@example.org,l_BPBCkt*5,2000-07-06
Богданна,Вернигора,larysa86@example.net,!&D)c5^kc4,2014-08-12
Гаврило,Жученко,ilienkomartyn@example.org,&6mIJf95#^,1991-06-15
Августин,Малик,qdatsiuk@example.org,+11lzVtbw8,1977-01-28
Пантелеймон,Абрамчук,leon55@example.net,^%&5QIlj1),2014-03-05
Ада,Девдюк,makar54@example.org,2xr0GWby!#,1986-11-18
Ярема,Артим,nshynkarenko@example.net,FN$Z2Qjz!J,2018-09-13
Зорян,Ґерета,bustenko@example.net,M!3UZ!a0@t,1980-01-14
Святослава,Ємельяненко,radchenkooksana@example.com,b_6VVuv+Qi,2022-04-18
